IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
150855521,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,9/29/2015,23:50,CENTRAL,ARREST/ BOOKED,300 Block of POWELL ST,-122.4083843,37.78782711,(37.7878271137225/ -122.408384275542)
150855521,TRESPASS,TRESPASSING,Tuesday,9/29/2015,23:50,CENTRAL,ARREST/ BOOKED,300 Block of POWELL ST,-122.4083843,37.78782711,(37.7878271137225/ -122.408384275542)
150855929,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,9/29/2015,23:50,PARK,NONE,300 Block of CRESTMONT DR,-122.459421,37.75879739,(37.758797388387/ -122.459420973333)
150855509,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Tuesday,9/29/2015,23:50,MISSION,ARREST/ BOOKED,23RD ST / CAPP ST,-122.4175086,37.75390261,(37.7539026121867/ -122.417508586687)
150855446,ASSAULT,BATTERY,Tuesday,9/29/2015,23:45,NORTHERN,ARREST/ BOOKED,1700 Block of FILLMORE ST,-122.433111,37.78563582,(37.7856358151842/ -122.433110952169)
150855402,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Tuesday,9/29/2015,23:45,CENTRAL,ARREST/ BOOKED,300 Block of GEARY ST,-122.4090552,37.78719796,(37.7871979591062/ -122.409055191364)
150855402,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Tuesday,9/29/2015,23:45,CENTRAL,ARREST/ BOOKED,300 Block of GEARY ST,-122.4090552,37.78719796,(37.7871979591062/ -122.409055191364)
150855446,OTHER OFFENSES,RESISTING ARREST,Tuesday,9/29/2015,23:45,NORTHERN,ARREST/ BOOKED,1700 Block of FILLMORE ST,-122.433111,37.78563582,(37.7856358151842/ -122.433110952169)
150855446,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,9/29/2015,23:45,NORTHERN,ARREST/ BOOKED,1700 Block of FILLMORE ST,-122.433111,37.78563582,(37.7856358151842/ -122.433110952169)
150855480,ASSAULT,BATTERY,Tuesday,9/29/2015,23:40,RICHMOND,ARREST/ BOOKED,800 Block of LA PLAYA ST,-122.5098954,37.7723132,(37.7723131976814/ -122.509895418239)
150855480,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Tuesday,9/29/2015,23:40,RICHMOND,ARREST/ BOOKED,800 Block of LA PLAYA ST,-122.5098954,37.7723132,(37.7723131976814/ -122.509895418239)
156241706,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,9/29/2015,23:40,TARAVAL,NONE,100 Block of DESOTO ST,-122.4651991,37.72428365,(37.7242836537748/ -122.465199103569)
156242011,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/29/2015,23:30,BAYVIEW,NONE,1500 Block of REVERE AV,-122.3892863,37.73109989,(37.7310998921861/ -122.389286347131)
150855587,WEAPON LAWS,FIREARM/ LOADED/ IN VEHICLE/ POSSESSION OR USE,Tuesday,9/29/2015,23:20,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173)
150855587,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Tuesday,9/29/2015,23:20,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173)
150855587,WEAPON LAWS,POSS OF LOADED FIREARM,Tuesday,9/29/2015,23:20,SOUTHERN,ARREST/ BOOKED,100 Block of 6TH ST,-122.4084666,37.78070083,(37.7807008318778/ -122.408466556173)
150855418,OTHER OFFENSES,THROWING SUBSTANCE AT VEHICLE,Tuesday,9/29/2015,23:10,TENDERLOIN,ARREST/ BOOKED,MARKET ST / 8TH ST,-122.4147438,37.77871926,(37.778719262789/ -122.414743835382)
150855418,ASSAULT,BATTERY OF A POLICE OFFICER,Tuesday,9/29/2015,23:10,TENDERLOIN,ARREST/ BOOKED,MARKET ST / 8TH ST,-122.4147438,37.77871926,(37.778719262789/ -122.414743835382)
150855418,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,Tuesday,9/29/2015,23:10,TENDERLOIN,ARREST/ BOOKED,MARKET ST / 8TH ST,-122.4147438,37.77871926,(37.778719262789/ -122.414743835382)
156244807,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,9/29/2015,23:05,NORTHERN,NONE,1000 Block of VANNESS AV,-122.4210923,37.78499964,(37.7849996426672/ -122.421092281879)
